"date_time","hosts_throughput_limit"
"2024-04-30 18:51:06.165561","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 8767.530265385503}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 22027.681233264997}]"
"2024-04-30 18:51:31.059551","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 9030.556173347068}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 22688.511670262946}]"
"2024-04-30 18:52:02.784805","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 9301.47285854748}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 23369.167020370835}]"
"2024-04-30 18:52:28.34529","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 9580.517044303904}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 24070.24203098196}]"
"2024-04-30 18:52:34.565845","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 9867.93255563302}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 24792.34929191142}]"
"2024-04-30 18:52:47.841714","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 10163.970532302012}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 25536.119770668764}]"
"2024-04-30 18:53:00.420661","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 10468.889648271072}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 26302.203363788827}]"
"2024-04-30 18:53:07.070589","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 10782.956337719204}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 27091.26946470249}]"
"2024-04-30 18:53:32.005899","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 11106.445027850781}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 27904.007548643567}]"
"2024-04-30 18:53:44.386264","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 11439.638378686304}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 28741.127775102876}]"
"2024-04-30 18:54:03.529494","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 11782.827530046894}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 29603.36160835596}]"
"2024-04-30 18:54:16.426723","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 30491.46245660664}]"
"2024-04-30 18:54:28.932763","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 18:54:35.351252","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 9267.431640625}]"
"2024-04-30 18:54:41.949281","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 5000.0}]"
"2024-04-30 18:48:07.603951","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 5150.0}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15450.0}]"
"2024-04-30 18:48:13.675486","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 5304.5}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15913.5}]"
"2024-04-30 18:48:20.067648","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 5463.635}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 16390.905}]"
"2024-04-30 18:48:32.841947","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 5627.54405}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 16882.632149999998}]"
"2024-04-30 18:48:40.509359","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 5796.3703715}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 17389.111114499996}]"
"2024-04-30 18:48:46.202281","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 5970.261482645}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 17910.784447934995}]"
"2024-04-30 18:48:52.801897","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 5970.261482645}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 18:48:59.016162","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 6149.36932712435}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 18:49:05.520707","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 6333.850406938081}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15913.265597045898}]"
"2024-04-30 18:49:18.309652","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 6523.865919146223}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 16390.663564957275}]"
