"date_time","hosts_throughput_limit"
"2024-04-30 18:59:54.92861","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12136.312355948301}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:00:01.188647","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12500.40172662675}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:00:20.781746","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12500.40172662675}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:00:33.765104","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 12875.41377842555}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:00:47.023482","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 13261.676191778317}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15913.265597045898}]"
"2024-04-30 19:00:53.669352","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 13261.676191778317}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:01:06.167301","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 13659.526477531666}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:01:20.029835","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 13659.526477531666}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:01:26.277678","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 13659.526477531666}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:01:32.064387","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 14069.312271857616}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:01:50.780905","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 14069.312271857616}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:02:03.94047","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 14491.391640013344}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:02:16.424096","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 14926.133389213745}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15913.265597045898}]"
"2024-04-30 19:02:35.300979","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 15373.917390890158}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 16390.663564957275}]"
"2024-04-30 19:02:47.955017","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 15835.134912616862}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 16882.383471905992}]"
"2024-04-30 19:02:54.234291","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 15835.134912616862}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:03:06.781385","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 16310.188959995368}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
"2024-04-30 19:03:19.822671","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 16310.188959995368}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 14999.779052734375}]"
"2024-04-30 19:03:32.307384","[{""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": null, ""throughput"": 16799.49462879523}, {""host"": {""id"": 1, ""ip"": ""192.168.0.102"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": null, ""throughput"": 15449.772424316407}]"
