date_time,hosts_throughput_limit
2024-05-04 15:39:13.654474,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 60000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:39:35.259534,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 55000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:39:42.758392,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 50000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:39:54.915367,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 45000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:40:12.828206,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 42000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:40:24.262502,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 40000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 20000.0}]"
2024-05-04 15:40:46.778782,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 41000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 21000.0}]"
2024-05-04 15:41:05.293312,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 43000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 21000.0}]"
2024-05-04 15:41:17.636831,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 45000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 22000.0}]"
2024-05-04 15:41:57.469953,"[{""host"": {""id"": 1, ""ip"": ""192.168.0.108"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_0""}, ""dateTime"": 2, ""throughput"": 40000.0}, {""host"": {""id"": 2, ""ip"": ""192.168.0.104"", ""port"": 5000, ""isActive"": true, ""priority"": ""LEVEL_1""}, ""dateTime"": 2, ""throughput"": 22000.0}]"
